"pin","title","target_book","slide_01","slide_02","slide_03","slide_04","slide_05","slide_06","slide_07","slide_08","slide_09","slide_10","content_slides"
"034","You Don't Need to Buy a Whole Bitcoin. You Can Start With $10.","EXPLAINED WITHOUT BRAIN MELT","You Don't Need to Buy a Whole Bitcoin. You Can Start With $10.","Most people see a Bitcoin price of $80,000 or $100,000 and think they've missed it — that it's only for the wealthy.","But Bitcoin can be divided into 100 million tiny pieces called satoshis.","Buying $10 of Bitcoin gives you a real, legitimate share of the network. There's no minimum. There's no VIP tier.","A nurse in the Philippines and a hedge fund manager in New York buy from the same supply, at the same price, with the same rules applying to both.","The price per whole coin doesn't matter the same way it does for a share in a company. What matters is the percentage of the total supply you hold.","And with 21 million coins divided into 100 million pieces each, there are 2.1 quadrillion satoshis in total — more than enough for every person on earth to own some.","Starting small is not just fine — it's how most people begin.","You learn how wallets work, how to send and receive, and how to store safely, all with a small amount you're comfortable with. That's a perfectly sensible place to start.","Bitcoin, Explained
Get it on Amazon →","8"
"035","Every Suspect Investigated as Satoshi Nakamoto Has Been Cleared or Denied It","WHO IS SATOSHI NAKAMOTO?","Every Suspect Investigated as Satoshi Nakamoto Has Been Cleared or Denied It","Over 15 years, journalists, governments, and forensic linguists have seriously investigated dozens of candidates for Satoshi Nakamoto's real identity.","Nick Szabo — cleared. Hal Finney — denied it, and the timeline doesn't fully fit.","Craig Wright — claimed to be Satoshi but was found by a UK court to be lying.","Dorian Nakamoto — denied ever hearing of Bitcoin. The trail goes cold every time. The person who built the most valuable financial network in history remains completely unknown.","What makes this mystery unique is that Satoshi didn't just hide his identity — he hid it perfectly.","Forensic analysts studied his writing for regional clues. Timezone researchers tracked his posting hours. Cryptographers analysed his code style. Everyone came away with theories and no proof.","The most compelling explanation many experts now offer is that it wasn't one person at all — that Satoshi was a small group of people who operated under one name and went their separate ways.","We may never know. But understanding why anonymity was so important tells you everything about how Bitcoin was designed to work.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"036","Bitcoin Processes a New Block of Transactions Every 10 Minutes — Without Fail","EXPLAINED WITHOUT BRAIN MELT","Bitcoin Processes a New Block of Transactions Every 10 Minutes — Without Fail","Every 10 minutes, like clockwork, a new block of Bitcoin transactions is confirmed and added to the permanent record.","It has happened without interruption since January 2009. No bank holiday stops it. No server outage pauses it. No government decision delays it.","It runs on thousands of computers simultaneously in dozens of countries, so there is no single point that can be switched off.","In 15 years of operation, Bitcoin's blockchain has had essentially zero unplanned downtime. Compare that to the traditional banking system. Banks have opening hours.","International transfers can take 3-5 business days. Payments get flagged, delayed, or reversed by compliance teams.","On public holidays, the system slows or stops entirely. Bitcoin doesn't know what a holiday is.","A payment from Jakarta to Buenos Aires settles in about 10 minutes — not 3 business days, not subject to a compliance review, not dependent on whether the recipient's bank is open.","For anyone who has ever waited days for an international transfer, that matters more than it might sound.","Bitcoin, Explained
Get it on Amazon →","8"
"037","Bitcoin Is Volatile — But the Dollar Has Lost 97% of Its Value Since 1913","BITCOIN MYTHS & LEGENDS","Bitcoin Is Volatile — But the Dollar Has Lost 97% of Its Value Since 1913","Bitcoin's price goes up and down sharply — that part is true, and it's worth knowing before you buy. But here's the context most people never hear.","The US dollar has lost about 97% of its purchasing power since the Federal Reserve was created in 1913.","It loses value slowly, predictably, and quietly — but it loses it.","Bitcoin is volatile on the way up. The dollar is stable on the way down. Which one you're more worried about depends on your time horizon.","Short-term Bitcoin price swings can be stomach-churning — 30%, 50%, even 80% drops have happened multiple times in its history. Each time, it recovered and went on to new highs.","But past performance doesn't guarantee future results, and anyone putting money into Bitcoin should genuinely be prepared to hold through a down period.","The question isn't whether Bitcoin is risky — it is. The question is whether the alternative is actually as safe as it looks.","Slow, invisible, government-approved inflation is its own kind of risk. Both deserve to be on the table when you're thinking about savings.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"038","Why Does Bitcoin Have Any Value at All? Here's the Honest Answer.","BITCOIN WHITEPAPER: THE HUMANS VERSION","Why Does Bitcoin Have Any Value at All? Here's the Honest Answer.","Bitcoin has value for the same basic reason gold has value — scarcity, difficulty to produce, and people agreeing it's worth something.","Gold is hard to mine. Bitcoin is hard to create mathematically. Gold has a finite supply in the earth's crust.","Bitcoin has a fixed supply of 21 million coded into its rules.","The difference is that Bitcoin can be sent to anyone in the world in 10 minutes, divided into tiny fractions, and stored in a password rather than a vault.","It's scarcity, but portable. The it has no intrinsic value argument gets made a lot — and it's worth engaging with honestly.","Gold's intrinsic value beyond jewellery is quite limited. The dollar's value comes from government decree and habit, not from anything you can hold. Most value is assigned by agreement between people.","Bitcoin's value comes from a combination of genuine scarcity, a growing network of people who accept it, and the mathematical guarantee that the rules can't change.","Whether you find that convincing or not is a fair personal judgement. But it has no intrinsic value applies to most of the money in the world.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
"039","Every 4 Years, Bitcoin Automatically Cuts Its New Supply in Half. Here's Why That Matters.","THE SAYLOR STANDARD","Every 4 Years, Bitcoin Automatically Cuts Its New Supply in Half. Here's Why That Matters.","When Bitcoin launched, 50 new coins were created every 10 minutes.","In 2012, that dropped to 25. In 2016, to 12.5. In 2020, to 6.25. In 2024, it dropped again to 3.125.","This automatic reduction happens every four years and is programmed into Bitcoin's code. It's called the halving.","By design, new Bitcoin enters circulation more and more slowly until the very last coin is mined around 2140.","No vote. No announcement. Just mathematics running on schedule. Why does this matter for ordinary people? Think about it in simple supply and demand terms.","If the number of new coins being created is cut in half, but the number of people who want to buy Bitcoin stays the same or grows, what happens to the price? Historically, each halving has been followed — sometimes months later — by significant price increases.","Nobody can guarantee this pattern continues. But the mechanics of programmed scarcity are real and predictable in a way that government monetary policy never is.","The halving happens on schedule regardless of who is in power.","The Saylor Standard
Get it on Amazon →","8"
"040","Your Bank Pays 0.5% Interest. Inflation Is Running at 5%. Do the Maths.","BITCOIN MYTHS & LEGENDS","Your Bank Pays 0.5% Interest. Inflation Is Running at 5%. Do the Maths.","A standard savings account in the US or UK pays around 0.5% to 2% interest per year. Official inflation has been running at 4% to 8% in recent years.","That means even with interest, your savings are losing purchasing power every single year — automatically, silently, and completely legally.","The bank isn't stealing from you. The system is just designed so that holding cash long-term always loses to the rising cost of living.","Most people never realise this is happening. This is sometimes called the inflation tax. You don't pay it in cash. You pay it in reduced purchasing power.","Work hard for 20 years, save diligently in a bank account, and you might end up with a bigger number but genuinely less ability to buy things.","Bitcoin doesn't pay interest. But its supply can't be inflated away.","Whether it outperforms inflation over your specific savings window is uncertain — Bitcoin has risks the savings account doesn't.","But understanding that the savings account has its own risk is the first honest step.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"041","A Dollar Created by a Keystroke vs a Bitcoin Created by Actual Work","THE SAYLOR STANDARD","A Dollar Created by a Keystroke vs a Bitcoin Created by Actual Work","A central bank can create a billion new dollars by typing a number into a computer. It costs almost nothing. Bitcoin cannot be created that way.","To produce new Bitcoin, computers must solve enormously difficult mathematical puzzles that require real electricity and real hardware.","This process — called proof of work — means every Bitcoin represents genuine energy expenditure.","You can't fake it. You can't shortcut it. New coins only appear when real computational work has been done.","Why does this matter? Because money that's easy to create tends to lose value — there's always the temptation to make more of it.","Money that's hard to create tends to hold value better, because the cost of production acts as a floor. Gold is valuable partly because it's genuinely difficult to mine.","Bitcoin's difficulty adjusts automatically — if more computers join the network, the puzzles get harder, keeping the supply schedule fixed. It's engineered scarcity through real work.","Whether that makes it better money is a question worth thinking through — but the mechanics are real and don't rely on anyone's promise.","The Saylor Standard
Get it on Amazon →","8"
"042","There Are Only 21 Million Bitcoin for 8 Billion People. Do That Maths.","QUESTION EVERYTHING YOU KNOW ABOUT MONEY","There Are Only 21 Million Bitcoin for 8 Billion People. Do That Maths.","There are 8 billion people on earth. There will only ever be 21 million Bitcoin.","That works out to 0.002625 Bitcoin per person — if it were distributed perfectly equally, which it won't be.","About 4 million Bitcoin are estimated to be permanently lost forever — on forgotten hard drives, in wallets whose passwords nobody remembers.","That means the actual circulating supply is probably closer to 17 million. For a global asset with that level of scarcity, current adoption is still relatively early.","You don't need to own a whole Bitcoin to have a meaningful share.","Each Bitcoin divides into 100 million satoshis, so even buying $20 worth gives you a real fraction of something genuinely scarce. The question isn't whether to go all in — most people shouldn't.","The question is whether having some small exposure to an asset with a mathematically guaranteed supply cap makes sense as part of a broader approach to savings.","That's a personal decision. But understanding the actual numbers — 21 million total, 8 billion people — is a useful starting point for making it.","Question Everything
Get it on Amazon →","8"
"043","Michael Saylor Lost $6 Billion in One Day — Then Made the Biggest Bet of His Career","THE SAYLOR STANDARD","Michael Saylor Lost $6 Billion in One Day — Then Made the Biggest Bet of His Career","In the dot-com crash of 2000, Michael Saylor's company lost 90% of its value in a single day — wiping out $6 billion of personal wealth in hours.","He spent the next 20 years rebuilding.","Then in 2020, facing the same question every business faces — where do you store cash so it holds its value — he decided the answer wasn't a bank account.","He converted his entire company treasury into Bitcoin and hasn't stopped buying since. His company now holds more Bitcoin than any other public firm in the world. Saylor's argument is not complicated.","He believes that any money sitting in cash or short-term bonds is losing 5-8% of its real value every year to inflation — silently, slowly, and with the full approval of the financial system.","Bitcoin, by contrast, has a fixed supply and 15 years of data showing it holds value over the long term better than cash.","He calls this the monetary energy argument — that Bitcoin is a battery for your economic output that doesn't leak.","Whether you agree with him or not, understanding why someone that experienced made that call is worth an hour of your time.","The Saylor Standard
Get it on Amazon →","8"
"044","On January 3rd 2009, the First Bitcoin Block Was Mined. The World Didn't Notice.","WHO IS SATOSHI NAKAMOTO?","On January 3rd 2009, the First Bitcoin Block Was Mined. The World Didn't Notice.","On January 3rd 2009, Satoshi Nakamoto mined the first ever Bitcoin block — called the genesis block. There was no press release. No launch event. No investors.","Just a message embedded in the block data, a newspaper headline about bank bailouts, and a new financial network that began running on a single computer.","The first Bitcoin had essentially zero monetary value. Nobody was watching. The world was focused on the financial crisis.","A quiet revolution had started. What happened next took years, not days. A small community of cryptographers and privacy advocates slowly discovered what Satoshi had built.","The first real-world transaction was 10,000 Bitcoin for two pizzas in 2010 — those coins would be worth hundreds of millions of dollars today.","Each year, more people found it. Each year, the network grew stronger.","By 2024, the largest asset manager in the world was selling Bitcoin funds to pension investors.","From zero to global in 15 years, starting on a single computer with no fanfare at all.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"045","The Hidden Code Satoshi Left in Bitcoin on the Day It Launched","WHO IS SATOSHI NAKAMOTO?","The Hidden Code Satoshi Left in Bitcoin on the Day It Launched","On January 3rd 2009, Satoshi Nakamoto launched Bitcoin and immediately hid something inside it.","Embedded in the very first block of data was a Times of London headline: Chancellor on brink of second bailout for banks.","It was the same day the British government was deciding whether to rescue failing banks with public money.","Satoshi was not just building a new currency. He was recording exactly why the old system needed replacing.","That headline is still there. It will always be there. Every computer that runs Bitcoin carries it, permanently, in the foundation of the entire network.","It is the most permanent political statement ever made — harder to remove than any inscription in stone, visible to anyone on earth with an internet connection.","Satoshi never explained it in writing. He did not need to. The message was self-evident to anyone paying attention in 2009.","The banks had failed. Governments were bailing them out with other people's money. And a quiet alternative had just been switched on.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"046","The Computer Scientist Who Solved a 40-Year-Old Riddle — Then Gave the Answer Away","WHO IS SATOSHI NAKAMOTO?","The Computer Scientist Who Solved a 40-Year-Old Riddle — Then Gave the Answer Away","For 40 years, computer scientists wrestled with one stubborn problem: how do you send digital money to someone without a bank in the middle to confirm it arrived and was not spent twice? Every solution required trusting a central authority.","In 2008, Satoshi Nakamoto solved it — using a combination of cryptography and a public record kept by thousands of independent computers simultaneously.","He published the solution for free, open to anyone in the world to read, copy, and use.","The technical name for what Satoshi solved is the double-spend problem.","With physical cash, if you hand someone a note, you no longer have it — simple.","But with digital files, you can copy them endlessly. Earlier attempts at digital money always needed a trusted middleman to keep the score.","Satoshi's breakthrough was replacing that middleman with mathematics and a shared public ledger.","No company owns it. No government runs it. The maths just works — the same way every time, for everyone.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"047","Can a Government Ban Bitcoin? China Tried Three Times. It Did Not Work.","EXPLAINED WITHOUT BRAIN MELT","Can a Government Ban Bitcoin? China Tried Three Times. It Did Not Work.","China has banned Bitcoin trading, mining, and transactions — multiple times, most recently in 2021.","Each time, the network kept running. Miners relocated to Kazakhstan, the US, and Russia within months. Trading moved to peer-to-peer apps. Chinese citizens found workarounds within weeks.","Bitcoin has no headquarters to shut down, no CEO to arrest, and no servers to seize.","It runs on tens of thousands of computers across every continent simultaneously. You would need to turn off the entire internet to stop it.","This is not just about China. El Salvador made Bitcoin legal tender. The US approved Bitcoin ETFs for pension funds. Different governments have tried different approaches — and the network has absorbed all of them.","The reason is structural. Bitcoin is not a company or a service you can block. It's a protocol, like email.","Governments can make it harder or easier to use within their borders, but they cannot make it stop existing.","Understanding this distinction — between banning access and banning existence — is key to understanding why Bitcoin is genuinely different from previous financial technologies.","Bitcoin, Explained
Get it on Amazon →","8"
"048","To Hack Bitcoin, You Would Need More Computing Power Than Every Country Combined","BITCOIN MYTHS & LEGENDS","To Hack Bitcoin, You Would Need More Computing Power Than Every Country Combined","Bitcoin's network is secured by more computing power than all of the world's supercomputers put together — by a very large margin.","To rewrite even a single transaction in Bitcoin's history, you would need to control more than 50% of all that computing power simultaneously.","The cost of assembling that much hardware would be hundreds of billions of dollars — and by the time you got there, the network would have grown even larger.","In 15 years, the core Bitcoin network has never been successfully hacked. It's worth being clear about what this means.","Exchanges and wallets have been hacked — those are companies and apps built on top of Bitcoin, not Bitcoin itself.","The underlying network — the protocol that records every transaction — has maintained a perfect security record since 2009. The famous Mt. Gox hack in 2014 was a failure of the exchange's own security, not Bitcoin's.","This is the same distinction as saying your email provider was hacked, not the internet itself. The network is secure.","Where people lose Bitcoin is almost always in how they store it, not in the protocol.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"049","What Does Be Your Own Bank Actually Mean in Practice?","BITCOIN WHITEPAPER: THE HUMANS VERSION","What Does Be Your Own Bank Actually Mean in Practice?","When people say Bitcoin lets you be your own bank, they mean this: with Bitcoin stored in your own wallet, you are the only person who can authorise a transaction.","Not a bank manager. Not a government. Not a payment processor. You. Your wallet is controlled by a private key — a unique string of letters and numbers that only you hold.","Whoever has that key controls the Bitcoin. No key, no access. Your key, your Bitcoin.","It's the digital equivalent of gold bars in your own safe. The responsibility that comes with this is real.","If you lose your private key and have not backed it up, nobody can help you recover your funds — there's no customer service line for the Bitcoin network.","This is why understanding how to store your key safely is the most important practical skill in Bitcoin.","A hardware wallet — a small physical device that stores your key offline — is the standard solution.","A written backup of your 12 or 24 seed words, stored somewhere safe and private, is your insurance policy. It sounds technical but takes about 30 minutes to set up properly.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
"050","Satoshi Nakamoto's Last Known Words Were Sent in April 2011. Then Silence.","WHO IS SATOSHI NAKAMOTO?","Satoshi Nakamoto's Last Known Words Were Sent in April 2011. Then Silence.","In April 2011, Satoshi Nakamoto sent a final email to a fellow Bitcoin developer named Gavin Andresen.","He said he had moved on to other things and asked Gavin to take the lead on Bitcoin's development.","Then he closed his accounts, stopped responding, and was never heard from publicly again.","He had been active for exactly two years and three months. The network he left behind was already running on its own.","He handed over the keys to something he no longer controlled — and walked away. What makes the timing remarkable is what happened next.","In the years following Satoshi's disappearance, Bitcoin grew from a niche cryptography project into a global financial network.","Every milestone — the first exchange, the first business acceptance, the first country adopting it as legal tender, the first Wall Street ETF — happened without him.","He built something that did not need him to keep working. That's an extraordinarily rare thing to achieve. Most founders cannot let go. Satoshi apparently designed his exit from the beginning.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"051","Argentina Has Had 5 Currency Crises Since 1975. Its People Are Buying Bitcoin.","FLUSH THE FIAT","Argentina Has Had 5 Currency Crises Since 1975. Its People Are Buying Bitcoin.","Argentina has experienced hyperinflation, currency freezes, and forced bank account conversions more times than most countries experience once.","In 2001, the government froze all bank accounts overnight to stop a bank run — ordinary people could not access their own money for months.","In 2023, annual inflation hit 211%. Argentinians have watched their savings destroyed by their own government so many times that Bitcoin adoption there is among the highest in the world.","For them, it is not speculation. It is survival.","When your savings account has been frozen by your own government, the idea of money that nobody can freeze starts to sound less like a tech experiment and more like common sense.","Argentina's experience is a real-world stress test of what Bitcoin is actually for — not trading profits, but a place to store value outside a system that has repeatedly failed its users.","Most people reading this live in countries with more stable currencies.","But Argentina is a reminder that financial stability is not guaranteed — and having some savings in something outside the local system is a form of insurance.","Flush the Fiat
Get it on Amazon →","8"
"052","Researchers Studied Every Word Satoshi Ever Wrote. Here's What They Found.","WHO IS SATOSHI NAKAMOTO?","Researchers Studied Every Word Satoshi Ever Wrote. Here's What They Found.","Forensic linguists spent years analysing every post, email, and forum comment Satoshi ever wrote — looking for clues to his identity through language patterns, spelling habits, and vocabulary choices.","He used British English spellings: colour, optimise, grey. He wrote bloody hard in one email — a very British phrase.","He posted primarily during UK and European waking hours. But he also used American idioms.","Analysts concluded he was either British, or someone who had spent significant time in the UK and deliberately obscured his patterns. What's fascinating about the linguistic analysis is how careful Satoshi was.","His writing is consistent but oddly generic — like someone who had thought about how to write without giving themselves away.","Some researchers believe the consistency itself is a sign of deliberate effort. A native British writer would not need to think about spelling colour correctly — they would just do it.","But someone consciously maintaining a cover might. The linguistic trail leads somewhere, but never quite arrives.","It's one of the many threads in a mystery that has resisted every attempt at resolution for 15 years.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"053","Gold Is Too Heavy to Send. Cash Is Too Easy to Print. Bitcoin Is Neither.","THE SAYLOR STANDARD","Gold Is Too Heavy to Send. Cash Is Too Easy to Print. Bitcoin Is Neither.","Gold has been used as money for thousands of years because it's scarce, durable, and hard to fake.","But it's heavy, hard to divide precisely, and almost impossible to send across the world quickly.","Cash is easy to send but easy to print — governments have proven they cannot resist making more of it.","Bitcoin combines the scarcity and durability of gold with the portability and divisibility of digital information. You can send any amount, anywhere in the world, in about 10 minutes, for a small fee.","Michael Saylor calls Bitcoin digital property — not a currency for buying coffee, but a place to store large amounts of value the way wealthy people have always used gold and real estate.","His argument is that in a world where everything digital can be copied infinitely, Bitcoin is the first truly scarce digital asset — and scarcity is what preserves value over centuries.","Gold survived thousands of years as a store of value because nobody could conjure more of it.","Bitcoin's scarcity is enforced by mathematics rather than geology, but the principle is identical. The portability is just a bonus.","The Saylor Standard
Get it on Amazon →","8"
"054","Hard Money vs Soft Money — The One Lesson That Changes How You See Everything","THE BITCOIN FAMILY GUIDE","Hard Money vs Soft Money — The One Lesson That Changes How You See Everything","Hard money is money that's difficult to produce more of — gold, silver, Bitcoin. Because it's hard to make, it tends to hold its value over time.","Soft money is money that's easy to produce more of — paper, digital dollars, any currency a government can print at will.","Because it's easy to make more, it tends to lose value over time. This one distinction explains most of monetary history. Empires that debased their coins collapsed.","Currencies that lost their hard backing lost their purchasing power. The pattern repeats.","Teaching this concept to children early gives them a mental framework that most adults never develop.","When a child understands that money which is easy to make tends to lose value, and money which is hard to make tends to hold it — they start asking better questions about the money they're earning and saving.","Why does my pocket money buy less than it used to? Why does grandma say things were cheaper when she was young? These are not complicated questions.","The answers are simple once you understand the difference between hard and soft money. This book was written to have exactly that conversation.","The Bitcoin Family Guide
Get it on Amazon →","8"
"055","Women Hold Less Wealth Than Men in Every Country on Earth. Bitcoin Doesn't Know That.","BITCOIN: A WOMAN'S BEST FRIEND","Women Hold Less Wealth Than Men in Every Country on Earth. Bitcoin Doesn't Know That.","In every country in the world, women on average hold less wealth than men — due to pay gaps, career breaks for caregiving, shorter investment horizons, and barriers to financial products.","Traditional wealth-building tools like property, pension funds, and investment portfolios all require institutional access that has historically been easier for men to obtain.","Bitcoin requires none of that access. A wallet has no gender. The network charges the same fee regardless of who is sending. The 21 million cap applies equally to everyone.","This is not about Bitcoin solving the gender wealth gap — it does not. But it does remove one layer of gatekeeping from the equation.","A woman in a country where she needs a male family member's permission to open a bank account can hold Bitcoin independently.","A woman going through a divorce who fears her assets being frozen or controlled can hold Bitcoin in her own wallet.","A woman starting a business in a country with limited credit access for women can receive Bitcoin payments from anywhere in the world.","These are real situations, happening right now. Financial tools that do not discriminate matter.","Bitcoin: A Woman's Best Friend
Get it on Amazon →","8"
"056","In 1971, the Dollar Was Backed by Gold. Then It Wasn't. Here's What Changed.","QUESTION EVERYTHING YOU KNOW ABOUT MONEY","In 1971, the Dollar Was Backed by Gold. Then It Wasn't. Here's What Changed.","On August 15th 1971, US President Nixon announced that the dollar would no longer be exchangeable for gold.","Until that moment, every dollar was theoretically backed by a fixed amount of gold held in reserve. After that moment, the dollar was backed by nothing except the US government's word.","This single decision — made without a vote, without a referendum, without asking the people who held dollars — removed the only hard limit on how much money could be created.","Within two years, inflation hit 11%. The 50 years since 1971 show what happens when there's no hard limit on money creation.","House prices relative to wages have roughly tripled. Healthcare costs have exploded. University tuition has become unaffordable for the first time in history.","These are not coincidences — they are symptoms of a money supply that has grown much faster than the real economy.","Bitcoin's designers were well aware of 1971. The 21 million cap is a direct response to what removing the gold standard enabled.","Whether Bitcoin is the right answer is a fair debate. But understanding the question it's answering is essential.","Question Everything
Get it on Amazon →","8"
"057","Satoshi Never Used the Word I in Public. He Always Wrote We.","WHO IS SATOSHI NAKAMOTO?","Satoshi Never Used the Word I in Public. He Always Wrote We.","Researchers who studied every public post Satoshi ever wrote noticed something odd. He almost never used the word I.","When referring to his own work, he consistently wrote we — as if describing a group effort. But there is no confirmed evidence of any co-founder or collaborator.","Either Satoshi was a team of people using a single name, or he was one person who deliberately avoided first-person language to obscure his individual identity.","Both explanations raise more questions than they answer. The we habit is one of dozens of small details that researchers have used to build theories about Satoshi's identity.","Some believe it confirms a team — perhaps a small group of cryptographers who collaborated under one pseudonym and went their separate ways after the launch.","Others believe it was deliberate misdirection from a single person who knew his writing would eventually be analysed.","What makes the mystery so durable is that Satoshi seems to have anticipated the scrutiny.","Every trail is just plausible enough to follow and just incomplete enough to never resolve.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"058","Your Bitcoin Wallet Is Not Where Your Bitcoin Lives. Here's What It Actually Does.","EXPLAINED WITHOUT BRAIN MELT","Your Bitcoin Wallet Is Not Where Your Bitcoin Lives. Here's What It Actually Does.","Your Bitcoin wallet does not store your Bitcoin — it stores your private key. The Bitcoin itself lives on the blockchain, the public record shared across thousands of computers worldwide.","Think of your wallet like a keychain. The coins are in a lock on the blockchain. Your wallet holds the key that proves you own them and can move them.","If you lose your key and have no backup, the coins stay on the blockchain forever — but nobody, including you, can ever access them again.","This is why the phrase not your keys, not your coins matters so much.","When you leave Bitcoin on an exchange like Coinbase or Binance, you do not actually hold the private key — the exchange does.","You own a promise from the exchange to give you Bitcoin if you ask. That's fine for small amounts and regular trading.","But it means the exchange can freeze your account, go bankrupt, or get hacked — and your funds are at risk.","Moving Bitcoin to your own wallet, where you control the key, is what truly makes it yours. It takes about 20 minutes to set up properly.","Bitcoin, Explained
Get it on Amazon →","8"
"059","The FBI Recovered $2.3 Million of Ransomware Bitcoin in 72 Hours. Here's How.","BITCOIN MYTHS & LEGENDS","The FBI Recovered $2.3 Million of Ransomware Bitcoin in 72 Hours. Here's How.","In May 2021, hackers attacked the Colonial Pipeline and demanded Bitcoin as ransom. The company paid.","Within 72 hours, the FBI had traced and recovered most of it — by following the blockchain.","Every single transaction the hackers made was permanently recorded on the public ledger. Moving the funds from wallet to wallet did not erase the trail — it extended it.","Federal investigators followed the chain of transactions like following footprints in snow. The Bitcoin did not disappear. It just moved to addresses the FBI could eventually access.","This case became one of the most-cited examples of why Bitcoin is actually a poor choice for criminals.","Cash has no trail. Bitcoin's entire value proposition is transparency — every transaction, visible to everyone, forever.","The Bitcoin is for criminals argument was always backwards. It is one of the most traceable financial instruments ever invented.","Law enforcement agencies around the world have now built entire forensic teams dedicated to blockchain analysis — precisely because the evidence never disappears.","Bitcoin Myths & Legends
Get it on Amazon →","8"
"060","Section 1 of the Bitcoin Whitepaper Is Just 3 Sentences. They Changed Everything.","BITCOIN WHITEPAPER: THE HUMANS VERSION","Section 1 of the Bitcoin Whitepaper Is Just 3 Sentences. They Changed Everything.","The very first section of Satoshi's whitepaper is called Introduction.","It opens with a simple observation: online payments always require a financial institution to process them, and that introduces costs, fraud, and the need for trust that can be abused.","His solution, described in plain language before a single equation appears, was a system where two people could transact directly — with no institution in the middle, no reversals, no permission required.","Three sentences to describe a problem. Six to describe the solution. What makes the whitepaper remarkable is how readable the introduction actually is.","Satoshi was not writing for academics — he was writing for engineers who would build on his ideas.","The language is clear, the problem is relatable, and the solution is described in terms anyone can follow before the mathematics begins.","Most people never read it because they assume it's impenetrable. The book that translates it into plain English exists because that assumption is wrong.","The ideas in those 9 pages are accessible to anyone willing to spend an afternoon with them.","Bitcoin Whitepaper for Humans
Get it on Amazon →","8"
"061","Lebanon 2019: Banks Locked Citizens Out of Their Own Accounts for Years","FLUSH THE FIAT","Lebanon 2019: Banks Locked Citizens Out of Their Own Accounts for Years","In 2019, Lebanon's banking system effectively collapsed. Banks imposed informal capital controls — limiting how much cash people could withdraw, blocking international transfers, and freezing foreign currency accounts.","People who had saved their entire lives in US dollar accounts were told they could only withdraw in Lebanese pounds — at an exchange rate far below the market rate.","By 2022, most depositors had lost between 70% and 90% of their savings. Not to inflation. To a system that simply decided to keep their money.","Lebanese citizens who held any Bitcoin before the crisis were among the few who retained access to meaningful savings.","Not because Bitcoin is magic — but because it's outside the system. When a bank fails, your bank balance fails with it.","When a government imposes capital controls, your bank account is subject to those controls. Bitcoin in your own wallet is neither.","It's a separate system with separate rules — rules that do not change because a government is in trouble.","For most people in stable countries, this feels theoretical. For the people of Lebanon, it was the difference between having savings and not having them.","Flush the Fiat
Get it on Amazon →","8"
"062","Satoshi's Final Public Post Was a Security Fix. Then He Was Gone.","WHO IS SATOSHI NAKAMOTO?","Satoshi's Final Public Post Was a Security Fix. Then He Was Gone.","Satoshi Nakamoto's final post on the Bitcoin forum, in December 2010, was not a farewell. It was a technical warning.","He had just been publicly challenged by a fellow developer about a potential security vulnerability, and his final public words addressed it directly — methodically, carefully, and without drama.","He did not say goodbye. He did not explain he was leaving. He just answered the question, posted the fix, and disappeared.","The last thing he did publicly was make the system more secure. The contrast between Satoshi's exit and the way most founders leave their companies is striking.","There was no farewell letter. No I'm proud of what we built post. No staged handover ceremony.","He treated the departure the same way he treated everything else — quietly, practically, focused on the work rather than himself.","Gavin Andresen, who took over as lead developer, later said he had no warning it was coming.","One day Satoshi was there, answering questions, fixing bugs. Then he was not. The network kept running as though nothing had changed — which was, perhaps, exactly the point.","Who Is Satoshi Nakamoto?
Get it on Amazon →","8"
"063","If You'd Put $1,000 Into Bitcoin in 2015, What Would It Be Worth Today?","QUESTION EVERYTHING YOU KNOW ABOUT MONEY","If You'd Put $1,000 Into Bitcoin in 2015, What Would It Be Worth Today?","Bitcoin's price in January 2015 was approximately $200. In early 2025, it crossed $100,000.","A $1,000 investment in January 2015 would have grown to over $500,000 in a decade — a 500x return.","No savings account, no index fund, no property investment has come close to that over the same period.","Past performance does not guarantee future results — that caveat is real and important. But the 10-year track record of Bitcoin as an asset is unlike anything else in financial history.","The honest follow-up question is: could you have held on? Bitcoin dropped 85% in 2018. It dropped 77% in 2022.","Anyone who bought in 2017 at the peak watched their investment lose most of its value before recovering.","The people who made the extraordinary returns were the ones who understood what they owned well enough to hold through the crashes — because they were not speculating, they were saving.","Understanding Bitcoin well enough to hold through a difficult period is exactly why education matters more than timing.","Question Everything
Get it on Amazon →","8"
